'Ard Case, (Unverified in 7th)Codex: Orks (pg 93)(Source: ??)
'Eavy Armour, (Unverified in 7th)It confers a 4+ armour save.(Source: ??)
'Urty Syringe, (Unverified in 7th)An 'urty syringe is a poisoned (4+) close combat weapon.(Source: ??)
Acrobatic, (Unverified in 7th)Units entirely composed of models with this special rule Run an additional 3" (this will normally be D6+3").(Source: Codex Eldar&COMMA p.32)
Adamantium Skull, (Unverified in 7th)Being headbutted by Ghazghkull is much like being hit by a mag-train. When Ghazghkull charges&COMMA he gets +2A instead of the usual +1. Furthermore&COMMA Ghazghkull is immune to instant death. (Rage&COMMA Eternal Warrior)
Ambush, (Unverified in 7th)Codex: Orks (pg 62)(Source: ??)
Ammo Runt, (Unverified in 7th)A model with an ammo runt is allowed to re-roll one To Hit roll for a shooting attack once per game. Ammo runt models are purely decorative and are always ignored for game purposes&COMMA just move them to one side if they become a problem.(Source: ??)
Ancient Doom, Hatred Slasanesh&COMMA suffers a -1 to fear tests when in combat with any Slaanesh unit(Source: ??)
And They Shall Know No Fear, (Unverified in 7th)Automatically regroups&COMMA can act normally on the turn it regroups&COMMA not killed by sweeping advances and is immune to fear.(Source: BRB&COMMA p.33)
Armour Plates, (Unverified in 7th)An Ork vehicle with armour plates has extra thick sheets of metal welded onto its hull. It treats 'Crew Stunned' results as 'Crew Shaken' results instead.
Armour of Shrieking Souls, (Unverified in 7th)This armour grants Lucius a 3+ Armour Save and a 5+ invulnerable save. For each armour save or invulnerable save Lucius passes during the Fight sub-phase&COMMA the unit (or model&COMMA if he is in a challenge) that caused the Wound immediately suffers a S4 AP2 hit with the Ignores Cover special rule.(Source: ??)
Armourbane, If a model has this special rule&COMMA or is attacking with a Melee weapon that has this special rule&COMMA it rolls an additional D6 for armour penetration in close combat. If a model makes a shooting attack with a weapon that has this special rule&COMMA it rolls an additional D6 for armour penetration. In either case&COMMA this special rule has no effect against non-vehicle models.
Assault, A weapon that can be fired in the shooting phase without preventing the firer from assaulting in the assault phase
Assault Vehicle, (Unverified in 7th)Passengers may assault the same turn they disembark(Source: ??)
Attack Squig, (Unverified in 7th)Codex: Orks (pg 92)(Source: ??)
Aura of Dark Glory, (Unverified in 7th)A model with an aura of dark glory has a 5+ invulnerable save.(Source: ??)
Auspex, (Unverified in 7th)Forego shooting to make an enemy unit within 12" reduce it's cover save by 1&COMMA untill the end of the phase
Bane of the Traitor, (Unverified in 7th)When a Weapon with this Special Rule is used to attack a model from Codex: Chaos Space Marines&COMMA the AP is improved by 1 (to a max of 1)(Source: Codex: Dark Angels 6th&COMMA p.62)
Banshee Mask, (Unverified in 7th)When one or more models with a banshee mask charge into combat&COMMA all enemy models in the combat suffer -5 to their Initiative (to a minimum of 1) until the end of that phase.(Source: Codex Eldar&COMMA p.66)
Battle Focus, A unit that contains only models with the Battle Focus special rule can either shoot and the Run&COMMA or Run and then shoot&COMMA in the same Shooting phase. The unit must complete both actions before you move onto the next unit - otherwise the chance to make the second action is forfeit.&CRLF&CRLFA model cannot Run if it fired a Heavy weapon during the same Shooting phase unless it has the Relentless special rule. Similarly&COMMA a model that has Run cannot then fire a Heavy weapon in the same Shooting phase unless it has the Relentless special rule. Models that cannot Run gain no benefit from the Battle Focus special rule. (Source: Codex Eldar&COMMA p.25)
Battle Fortune, (Unverified in 7th)This model has a 4+ invulnerable save.(Source: ??)
Beseech the Dark Gods, (Unverified in 7th)After deployment&COMMA if a character in the Dark Apostle's unit (including the Apostle himself) rolls on the Chaos Boon table&COMMA he may re-roll the result.(Source: ??)
Bigbomm, (Unverified in 7th)Codex: Orks (pg 48)(Source: ??)
Bike of the Aporkalypse, (Unverified in 7th)Codex: Orks (pg 60)(Source: ??)
Black Crusader (Warlord Trait), (Unverified in 7th)The Warlord and all friendly units within 12" of the Warlord have the Preferred Enemy (Space Marines) special rule.(Source: ??)
Bladestorm, When a weapon with this special rule rolls a 6 To Wound&COMMA the target is wounded automatically and the Wound is resolved at AP2.(Source: Codex Eldar&COMMA p.63)
Blast, (Unverified in 7th)Against vehicles&COMMA see BRB pp. 73.  Against other units&COMMA pp 33
Blastas, (Unverified in 7th)Codex: Orks (pg 56)(Source: ??)
Blessing of the Blood God, (Unverified in 7th)Kharn and his unit always pass their Deny the Witch rolls on a 2+. In addition&COMMA if Kharn suffers an unsaved Wound from a Force weapon&COMMA that weapon cannot inflict Instant Death on him.(Source: ??)
Blessing of the Omnissiah, (Unverified in 7th)In each Shooting Phase&COMMA instead of firing a weapon&COMMA the Techmarine may choose to repair a single friendly vehicle in base contact or embarked on.&CRLFRoll a D6 and add the following modifiers (if applicable): +1 for a Servo Harness&COMMA and +1 for each Servo armed servitor in his unit.&CRLFIf the result is 5 or more you may either restore a Hull Point or repair a Weapon Destroyed or Immobilised result&COMMA this is effective immediatly (ie the vehicle can then fire the reparied weapon)(Source: Codex: Dark Angels 6th&COMMA p.32)
Blight Grenades, (Unverified in 7th)Models with the Mark of Nurgle only. Blight grenades count as both assault and defensive grenades.(Source: ??)
Blind, (Unverified in 7th)Any unit hit by a model or weapon with this special rule must immediately take an Initiative test. If the test is passed&COMMA all is well. If the Initiative test is failed&COMMA all models in the unit are reduced to Weapon SKill and Ballistic Skill 1 until the end of their next turn. Should the attacking unit hit themselves&COMMA we assume they are prepared and they automatically pass the test. Furthermore&COMMA any model that does not have an Initiative characteristic are unaffected by this special rule.(Source: 40k Rulebook&COMMA p.34)
Boarding Plank, If a unit disembarks from an Open-topped vehicle with a boarding plank and declares a charge in the same turn&COMMA it adds +2 to its charge distance (to a maximum of 12).
Bolster Defences, (Unverified in 7th)After Deployment&COMMA but before Scout and Infiltrators&COMMA nominate one peice of terrain in your deployment zone&COMMA the terrain's cover is increased by 1 to a maximum of 2+(Source: Codex: Dark Angels 6th&COMMA p.32)
Bomb-squig, (Unverified in 7th)Codex: Orks (pg 42)(Source: ??)
Bosspole, (Unverified in 7th)Each time a unit with a Bosspole fails a Morale test you may choose to inflict a wound on that unit (not on the model with the Bosspole) in order to re-roll that Morale test.(Source: ??)
Bulky, (Unverified in 7th)Bulky models count as two models for the purposes of Transport Capacity.(Source: 40k Rulebook&COMMA p.35)
Burna, (Unverified in 7th)A burna may be used in the Shooting phase&COMMA or as a power weapon in the Assault phase&COMMA but not both in the same turn.(Source: ??)
Champion of Chaos, A model with the Champion of Chaos special rule must always issue and accept a challenge whenever possible.&CRLF&CRLFWhenever a character with the Champion of Chaos special rule kills an enemy character&COMMA you must immediately check to see if the Dark Gods reward him. To do this&COMMA roll a D66 on the Chaos Boon table (page 29)(Source: ??)
Chaos Lord - Mark of Khorne, (Unverified in 7th)Khorne Berzerkers are troops instead of elites(Source: ??)
Chaos Lord - Mark of Nurgle, (Unverified in 7th)Plauge Marines are troops instead of elites(Source: ??)
Chapter Tactics (Ultramarines), (Unverified in 7th)Combat Doctrines: This detachment can utilise each of the&CRLFfollowing Combat Doctrines once per game. To do so&COMMA at the&CRLFstart of your turn&COMMA state which doctrine you wish to use (if&CRLFany)- that doctrine is in effect until the beginning of your&CRLFnext turn. You can only use one Combat Doctrine per turn.&CRLF\begin{description}&CRLF\item[Tactical Doctrine] Models in this detachment re-roll&CRLFall To Hit ro lls of 1 made in the Shooting phase.&CRLFModels in the detachment's Tactical Squads instead&CRLFre-ro ll all failed To Hit rolls made in the Shooting phase.&CRLF\item[Assault Doctrine] Units in this detachment can re-roll&CRLFtheir charge range. Models in the detachment's&CRLFAssault Squads&COMMA Bike Squads and Attack Bike Squads&CRLFinstead have the Fleet special rule.&CRLF\item[Devastator Doctrine] Models in this detachment may&CRLFre-roll To Hit with Snap Shot~ (including Overwatch&CRLFshots) . In addition&COMMA models in the detachment's&CRLFDevastator Squads have the Relentl ess special rule unless they&CRLFdisembark from a Transport in their Movement phase.&CRLF\end{description}&CRLF
Choppa, (Unverified in 7th)Choppas are close combat weapons&COMMA see the Warhammer 40K rulebook.(Source: ??)
Combat Familiar, A model with a combat familiar makes two additional S4 AP- Melee Attacks. The combat familiar is always assumed to be on the same base as its master. If you wish to represent it separalely you can. However&COMMA the model itself plays no part in the game; if the model gets in the way&COMMA simply move it to one side.(Source: CSM codex pp. 67)
Combat Squads, (Unverified in 7th)A 10-man unit with this rule can break down into two 5-man units.&CRLFYou must decide which units are splitting into combat squads&COMMA and which models go into which combat squad BEFORE deployment&COMMA for all pourposes they are two seperate units.&CRLFNote: two combat squads split from the same unit may share tansport space in the same transport vehicle.(Source: Codex: Dark Angels 6th&COMMA p.28)
Concussive, Some weapons are designed to leave any foe that manages to survives their strike disoriented and easy to slay. A model that suffers one or more unsaved Wounds from a weapon with this special rule is reduced to Initiative 1 until the end of the following Assault phase. 
Counter-attack, If a unit contains at least one model with this special rule&COMMA and that unit is charged&COMMA every model with this rule gets +1A until the end of the phase.  If the unit was locked in combat already&COMMA this rule has no effect.
Crushing Blow, (Unverified in 7th)This model has a +1 Strength.(Source: ??)
Crystal Targeting Matrix, (Unverified in 7th)One use only. A non-Walker vehicle with this upgrade can fire one weapon&COMMA at the vehicle's full Balistic Skill&COMMA after moving Flat Out in the Shooting phase.(Source: ??)
Cursed, (Unverified in 7th)When engaged  in combat&COMMA Yriel must re-roll saving throws of 6.(Source: Codex Eldar&COMMA p.54)
Cybork Body, (Unverified in 7th)A model with a cybork body has a 5+ invulnerable saving throw.(Source: ??)
Da Powder Grotz, (Unverified in 7th)Codex: Orks (pg 57)(Source: ??)
Da Vulcha's Klaws, (Unverified in 7th)On any turn that Zagstruk charges&COMMA he counts as having a power klaw that strikes in normal Initiative order (remember that with Zagstruk's Furious Charge this will be resolved at Initiative 4).(Source: ??)
Daemon, (Unverified in 7th)Models with the Daemon special rule have a 5+ invulnerable save&COMMA and the Fear special rule.(Source: ??)
Daemon Weapon, (Unverified in 7th)At the start of each Fight sub-phase during which the bearer of a Daemon Weapon is locked in combat&COMMA roll a D6. On a roll of a 1&COMMA the model immediately suffers a Wound with no armour saves allowed and his Weapon Skill is 1 until the end of the phase. On a roll of 2+&COMMA the bearer gains that many additional Attacks until the end of the phase. If the bearer has multiple Melee weapons&COMMA only roll a D6 if he chooses to attack with a Daemon Weapon.(Source: ??)
Daemon of Khorne, (Unverified in 7th)Furious Charge; Hatred (Daemons of Slaanesh)(Source: ??)
Daemon of Nurgle, (Unverified in 7th)Hatred (Daemons of Tzeentch); Shrouded; Slow and Purposeful.(Source: ??)
Daemon of Slaneesh, (Unverified in 7th)Fleet; Hatred (Daemons of Khorne); Rending; Run an additional 3".(Source: ??)
Daemon of Tzeentch, (Unverified in 7th)Hatred (Daemons of Nurgle); re-roll all saving throw results of 1.(Source: ??)
Daemonforge, (Unverified in 7th)Once per game&COMMA at the start of any Shooting or Assault phase&COMMA the Daemonforge may be activated. For the rest of the phase&COMMA the model may re-roll all failed To Wound rolls and all failed armour penetration rolls. At the end of the phase in which the Daemonforge is used&COMMA roll a D6. If the result is a 1&COMMA the model loses a Hull Point with no saves of any kind allowed.(Source: ??)
Daemonic Possession, (Unverified in 7th)The vehicle's Ballistic Skill is reduced to 3. It ignores the effect of Crew Shaken and Crew Stunned results on a roll of a 2+. Embarked units are still affected by this result.&CRLF&CRLFRoll a D6 each time a unit embarks on a vehicle with the daemonic possession upgrade (including rolling at the start of your first turn if a unit begins the game embarked upon such a vehicle). On a roll of a 1&COMMA the Daemon devours a randomly chosen model in the unit - remove that model as a casualty with no saves of any kind allowed. The vehicle then recovers oue Hull Point lost earlier in the battle.(Source: ??)
Deathwing Assault, (Unverified in 7th)Units composed entirely composed of models with this rule and wearing Terminator Armour can choose to make a Deathwing Assault.&CRLFImmediatly after determining Warlord Traits&COMMA tell your opponent which units are making a Deathwing Assault&COMMA and make a secret note on weather it happens during turn 1 or turn 2. All units chosen arrive then with no need to roll for deep strike reserves.(Source: Codex: Dark Angels 6th&COMMA p.44)
Deathwing Vehicle, (Unverified in 7th)Preferred Enemy (Chaos Space Marines)&COMMA you may make your opponent re-roll any vehicle damage result(Source: ??)
Deep Strike, (Unverified in 7th)Read the BRB&COMMA it's too complicated to explain in a small space.(Source: BRB&COMMA p.36)
Deff Rolla, (Unverified in 7th)A Battlewagon with a deff rolla may re-roll Dangerous Terrain tests. Any Tank Shock made by a Battlewagon with a deff rolla causes D6 Strength 10 hits on the victim unit. If the unit elects to make a Death or Glory attack&COMMA it takes a further D6 Strength 10 hits in addition to the usual effects.(Source: ??)
Demagogue, (Unverified in 7th)Friendly units from this codex within 6" of a Dark Apostle must use his Leadership instead of their own.(Source: ??)
Digital Weapons, (Unverified in 7th)Re-roll a single failed to wound roll in the assault phase
Dimensional Key, (Unverified in 7th)When the bearer kills an enemy model in the Fight sub-phase&COMMA he may immediately unlock the Key's power. From this point on&COMMA all enemy models that start any phase within 12" of the Key's bearer treat all terrain as both difficult and dangerous during that phase. Furthermore any friendly units from this codex that arrive by Deep Strike after the Key's power has been unlocked do not scatter.(Source: ??)
Dirge Caster, (Unverified in 7th)Enemy units within 6" of one or more vehicles with a dirge caster cannot fire Overwatch.(Source: ??)
Disarming Strike, (Unverified in 7th)In any round of a challenge&COMMA this model can attempt to termporarily disarm his opponent. If he wishes to do so&COMMA both he and his opponent roll a D6 before either makes any To Hit rolls. The model with this power adds 1 to the total if his Weapon Skill is higher than his opponent's.&CRLF&CRLFIf the model's total is equal to or higher than his opponent's&COMMA nominate one of the opponent's melee weapons - this is treated as a close combat weapon until the end of the phase. If his opponent has no weapons&COMMA this ability has no effect.(Source: ??)
Disc of Tzeentch, (Unverified in 7th)The model receives +1 Attack and his unit type becomes Jetbike.(Source: ??)
Distort, (Unverified in 7th)When rolling To Wound against non-vehicle models with this weapon&COMMA on rolls of a 6&COMMA it wounds automatically (regardless of the target's Toughness) and has the Instant Death special rule. Against vehicle models&COMMA if this weapon rolls a 6 for armour penetration&COMMA it automatically causes a penetrating hit&COMMA regardless of whether the armour penetration roll was higher than the vehicle's armour value or not.(Source: Codex Eldar&COMMA p.62)
Dok's Tools, (Unverified in 7th)He confers the Feel No Pain special rule to his unit.(Source: ??)
Don't Press Dat!, (Unverified in 7th)Each Looted Wagon must roll a dice at the start of each Ork Movement phase. On a roll of a 1&COMMA that vehicle must move directly forward as far as possible as the Orks inside get carried away. This can potentially mean that the Wagon may Tank Shock an enemy unit. Passengers may not disembark this turn.(Source: ??)
Drop Pod Assault, (Unverified in 7th)At the beginning of your first turn&COMMA half rounding up of your drop pods come in via Deep Strike(Source: ??)
Duellist's Pride, (Unverified in 7th)While Lucius is in a challenge&COMMA his Attacks characteristic is equal to the Weapon Skill of his opponent.(Source: ??)
Eldar Jetbike, (Unverified in 7th)Move up to 12" in the Movement phase. &CRLF&CRLFJetbikes can always move over all other models and all terrain freely. However&COMMA if a moving Jetbike begins or ends its move in difficult terrain&COMMA it must take a Dangerous Terrain test. Jetbikes cannot end their move over other models or impassable terrain&COMMA except that they can end their move on top of impassable terrain if it is actually possible to place the models on top of it. If they do that&COMMA however&COMMA they treat the impassable terrain as dangerous terrain.&CRLF&CRLFJetbikes fall back 3D6".&CRLF&CRLFJetbikes cannot Go to Ground&COMMA and cannot be Pinned.&CRLF&CRLFCharges are not slowed by difficult terrain. However&COMMA each Jetbike model that charges an enemy model behind a barricade or Aegis defense line&COMMA must take a Dangerous Terrain test.&CRLF&CRLFTurbo-boost: move up to 36" instead of firing in their Shooting phase. They cannot shoot&COMMA charge or execute any other voluntary action for the rest of the turn after Turbo-boosting.&CRLF&CRLFMay move up to 2D6" in the Assault phase&COMMA even if they don't charge and even if they arrived by Deep Strike that turn. They treate difficult terrain the same wasy as during the movement phase.(Source: 40k Rulebook&COMMA p.45)
Enhanced Warriors, (Unverified in 7th)One Chaos Space Marine unit (see the army list&COMMA pg 95) in the same army as Fabius Bile can be nominated as Enhanced Warriors. That unit has the Fearless special rule and +I Strength for the entire game.(Source: ??)
Eternal Warrior, (Unverified in 7th)A model wih this special rule is immune to the effects of Instant Death.(Source: ??)
Exarch Power: Battle Fortune, (Unverified in 7th)this model has a 4++(Source: ??)
Exarch Power: Crushing Blow, (Unverified in 7th)This model has +1S(Source: ??)
Exarch Power: Disarming Strike, (Unverified in 7th)In any round of a Challenge&COMMA this model may attempt to disarm the opponent&COMMA both players roll a D6 (if the modle with this power has a higher WS add 1 to his roll).&CRLFIf the model with this powers roll is equal to or higher than the opponent treat one of the opponents weapons as just a close combat weapon instead for this phase.(Source: ??)
Exarch Power: Fast Shot, (Unverified in 7th)This model alwasy fires one more shot than is normal for his weapon&COMMA termplate weapons are not affected by this power.(Source: ??)
Exarch Power: Fear, (Unverified in 7th)Gives the Fear USR(Source: ??)
Exarch Power: Feel no Pain, (Unverified in 7th)Grants Feel no Pain USR(Source: ??)
Exarch Power: Hit & Run, (Unverified in 7th)Grants the Hit & Run USR(Source: ??)
Exarch Power: Iron Resolve, (Unverified in 7th)This model has +1LD(Source: ??)
Exarch Power: Marksman's Eye, (Unverified in 7th)This model make precision shots on a 5+ rather than on a 6(Source: ??)
Exarch Power: Monster Hunter, (Unverified in 7th)Grants the Monster Hunter USR(Source: ??)
Exarch Power: Night Vision, (Unverified in 7th)Grants the Night Vision USR(Source: ??)
Exarch Power: Shield of Grace, (Unverified in 7th)In any round of a challenge this model may choose to defend gaining a 3++&COMMA but can only make one attack this round.(Source: ??)
Exarch Power: Stalker, (Unverified in 7th)In the first round of a challenge the model may attempt to backstab the opponent&COMMA if the attempt is made both players roll a D6 before any attacks are made&COMMA if this models I is higher than the opponent add 1 to the roll.&CRLFIf this model's total is equal to or higher than the opponent's he re-rolls all failed to hit rolls this phase(Source: ??)
Exhaust Cloud, (Unverified in 7th)Warbikers produce great clouds of smoky exhaust fumes&COMMA giving them a 4+ cover save.(Source: ??)
Faolchu's Wing, (Unverified in 7th)A model with Faolchu's Wing can Run up to 48" in its Shooting phase. If it does so it cannot shoot&COMMA charge or manifest psychic powers in that Shooting phase or the remainder of the turn. However&COMMA the model can re-roll failed cover saves until the start of its next turn.(Source: Codex Eldar&COMMA p.69)
Fast Shot, (Unverified in 7th)This model always fires one more shot than is normal for his weapon. This power cannot be used when firing a Template weapon.(Source: ??)
Fear, (Unverified in 7th)At the start of each Fight sub-phase&COMMA a unit in base contact with one or more enemy models that cause Fear must take a Leadership test (called a Fear test) before any blows are struck.&CRLF&CRLFIf the test is passed&COMMA all is well and there is no effect. If the test is failed&COMMA the unit succumbs to fear - all models in the unit have their Weapon Skill reduced to 1 for the remainder of that Fight sub-phase.&CRLF&CRLFNote that some units are less prone to Fear than others. Units that contain one or more models with the And They Shall Know No Fear or Fearless special rules automatically pass Fear tests. However&COMMA a model that causes Fear is not itself immune to Fear. (Source: 40k Rulebook&COMMA p.35)
Fearless, (Unverified in 7th)Units containing one or more models with the Fearless special rule automatically pass Pinning&COMMA Fear and Regroup tests and Morale checks&COMMA but cannot Go to Ground and cannot choose to fail a Morale check due to the Our Weapons are Useless rule (see page 26).(Source: ??)
